,station,seq_count
238,Okhla Bird Sanctuary,251
239,Botanical Garden,252
240,Majlis Park,253
241,Azadpur,254
242,Shalimar Bagh,255
243,Netaji Subash Place,256
244,Shakurpur,257
245,Punjabi Bagh West,258
246,ESI BASAI DARAPUR,259
247,Rajouri Garden,260
248,Maya Puri,261
249,Naraina Vihar,262
250,Delhi Cantt,263
251,Durgabai Deshmukh South Campus,264
252,Sir Vishweshwaraiah Moti Bagh,265
253,Bhikaji Cama Place,266
254,Sarojini Nagar,267
255,Dilli Haat INA,268
256,South Extension,269
257,Lajpat Nagar,270
258,Vinobapuri,271
259,Ashram,272
260,Sarai Kale Khan Hazrat Nizamuddin,273
261,Mayur Vihar Phase-1,274
262,Mayur Vihar Pocket I,275
263,Trilokpuri Sanjay Lake,276
264,Vinod Nagar East,277
265,Mandawali - West Vinod Nagar,278
266,IP Extension,279
267,Anand Vihar,280
268,Karkar Duma,281
269,Karkarduma Court,282
270,Krishna Nagar,283
271,East Azad Nagar,284
272,Welcome,285
273,Jaffrabad,286
274,Maujpur,287
275,Gokulpuri,288
276,Johri Enclave,289
277,Shiv Vihar,290
278,Yamuna Bank,291
279,Laxmi Nagar,292
280,Nirman Vihar,293
281,Preet Vihar,294
282,Karkar Duma,295
283,Anand Vihar,296
284,Kaushambi,297
285,Vaishali,298
286,Ashok Park Main,299
287,Satguru Ram Singh Marg,300
288,Kirti Nagar,301
289,Noida Sector 51,302
290,Noida Sector 50,303
291,Noida Sector 76,304
292,Noida Sector 101,305
293,Noida Sector 81,306
294,NSEZ Noida,307
295,Noida Sector 83,308
296,Noida Sector 137,309
297,Noida Sector 142,310
298,Noida Sector 143,311
299,Noida Sector 144,312
300,Noida Sector 145,313
301,Noida Sector 146,314
302,Noida Sector 147,315
303,Noida Sector 148,316
304,Knowledge Park II,317
305,Pari Chowk  Greater Noida,318
306,Alpha 1  Greater Noida,319
307,Delta 1 Greater Noida,320
308,GNIDA Office,321
309,Depot Greater Noida,322
310,Dwarka,323
311,Nangli,324
312,Najafgarh,325
